https://www.kaggle.com/abhisheksharma26jan/zillowabhishek,D://crw_data//df.fillna\source13,D://crw_data//df.fillna\source13\code\np.ndarray.sum_einsum_replace0.py,274,np.sum([abs(y[i]-ypred[i])foriinrange(len(y))]),"np.einsum('i->',np)",np.ndarray.sum,np.einsum
https://www.kaggle.com/abhisheksharma26jan/zillowabhishek,D://crw_data//df.fillna\source13,D://crw_data//df.fillna\source13\code\np.ndarray.sum_einsum_replace1.py,358,train_df[c].isnull().sum(),"np.einsum('i->',train_df[c].isnull())",np.ndarray.sum,np.einsum
https://www.kaggle.com/abhisheksharma26jan/zillowabhishek,D://crw_data//df.fillna\source13,D://crw_data//df.fillna\source13\code\np.ndarray.sum_np.sum_replace0.py,358,train_df[c].isnull().sum(),"np.sum(train_df[c].isnull(),)",np.ndarray.sum,np.sum
https://www.kaggle.com/abhisheksharma26jan/zillowabhishek,D://crw_data//df.fillna\source13,D://crw_data//df.fillna\source13\code\np.sum_einsum_replace0.py,274,np.sum([abs(y[i]-ypred[i])foriinrange(len(y))]),"np.einsum('i->',[abs(y[i]-ypred[i])foriinrange(len(y))])",np.sum,np.einsum
https://www.kaggle.com/abhisheksharma26jan/zillowabhishek,D://crw_data//df.fillna\source13,D://crw_data//df.fillna\source13\code\np.sum_sum_replace0.py,274,np.sum([abs(y[i]-ypred[i])foriinrange(len(y))]),([abs(y[i]-ypred[i])foriinrange(len(y))]).sum(),np.sum,np.ndarray.sum
https://www.kaggle.com/abhisheksharma26jan/zillowabhishek,D://crw_data//df.fillna\source13,D://crw_data//df.fillna\source13\code\pd.Series.astype_replace0.py,47,prop[c].astype(np.float32),prop[c].apply(np.float32),pd.Series.astype,pd.Series.apply
https://www.kaggle.com/abhisheksharma26jan/zillowabhishek,D://crw_data//df.fillna\source13,D://crw_data//df.fillna\source13\code\pd.Series.astype_replace1.py,66,"x_train.values.astype(np.float32,copy=False)","x_train.values.apply(np.float32,copy=False)",pd.Series.astype,pd.Series.apply
https://www.kaggle.com/abhisheksharma26jan/zillowabhishek,D://crw_data//df.fillna\source13,D://crw_data//df.fillna\source13\code\pd.Series.astype_replace2.py,112,"x_test.values.astype(np.float32,copy=False)","x_test.values.apply(np.float32,copy=False)",pd.Series.astype,pd.Series.apply
https://www.kaggle.com/abhisheksharma26jan/zillowabhishek,D://crw_data//df.fillna\source13,D://crw_data//df.fillna\source13\code\pd.Series.astype_replace3.py,157,train_df['logerror'].values.astype(np.float32),train_df['logerror'].values.apply(np.float32),pd.Series.astype,pd.Series.apply
https://www.kaggle.com/abhisheksharma26jan/zillowabhishek,D://crw_data//df.fillna\source13,D://crw_data//df.fillna\source13\code\pd.DataFrame.fillna_replace0.py,141,properties[c].fillna(-1),properties[c].combine_first(properties[c].applymap(lambdax:-1)),pd.DataFrame.fillna,pd.DataFrame.combine_first
https://www.kaggle.com/abhisheksharma26jan/zillowabhishek,D://crw_data//df.fillna\source13,D://crw_data//df.fillna\source13\code\pd.DataFrame.fillna_replace1.py,269,df.fillna(-1.0),df.combine_first(df.applymap(lambdax:-1.0)),pd.DataFrame.fillna,pd.DataFrame.combine_first
https://www.kaggle.com/alishir/iterative-random-forest,D://crw_data//np.arange\source315,D://crw_data//np.arange\source315\code\np.where_map_replace0.py,30,np.where(data==-1),(chunk['is_attributed']).map(lambdax:Trueifx==1elseFalse).values,np.where,pd.Series.map
https://www.kaggle.com/alishir/iterative-random-forest,D://crw_data//np.arange\source315,D://crw_data//np.arange\source315\code\np.where_map_replace1.py,69,np.where(a!=-1),(chunk['is_attributed']).map(lambdax:Trueifx==1elseFalse).values,np.where,pd.Series.map
https://www.kaggle.com/alishir/iterative-random-forest,D://crw_data//np.arange\source315,D://crw_data//np.arange\source315\code\np.where_map_replace2.py,70,np.where(a==-1),(chunk['is_attributed']).map(lambdax:Trueifx==1elseFalse).values,np.where,pd.Series.map
https://www.kaggle.com/alishir/iterative-random-forest,D://crw_data//np.arange\source315,D://crw_data//np.arange\source315\code\np.where_map_replace3.py,82,np.where(data!=-1),(chunk['is_attributed']).map(lambdax:Trueifx==1elseFalse).values,np.where,pd.Series.map
https://www.kaggle.com/alishir/iterative-random-forest,D://crw_data//np.arange\source315,D://crw_data//np.arange\source315\code\np.where_nonzero_replace0.py,30,np.where(data==-1),np.nonzero(data==-1),np.where,np.nonzero
https://www.kaggle.com/alishir/iterative-random-forest,D://crw_data//np.arange\source315,D://crw_data//np.arange\source315\code\np.where_nonzero_replace1.py,69,np.where(a!=-1),np.nonzero(a!=-1),np.where,np.nonzero
https://www.kaggle.com/alishir/iterative-random-forest,D://crw_data//np.arange\source315,D://crw_data//np.arange\source315\code\np.where_nonzero_replace2.py,70,np.where(a==-1),np.nonzero(a==-1),np.where,np.nonzero
https://www.kaggle.com/alishir/iterative-random-forest,D://crw_data//np.arange\source315,D://crw_data//np.arange\source315\code\np.where_nonzero_replace3.py,82,np.where(data!=-1),np.nonzero(data!=-1),np.where,np.nonzero
https://www.kaggle.com/alishir/iterative-random-forest,D://crw_data//np.arange\source315,D://crw_data//np.arange\source315\code\np.zeros_empty_replace0.py,21,"np.zeros((m,n,T),dtype=int)","np.empty((m,n,T),dtype=int);r2[:]=0",np.zeros,np.empty
https://www.kaggle.com/alishir/iterative-random-forest,D://crw_data//np.arange\source315,D://crw_data//np.arange\source315\code\np.zeros_empty_replace1.py,85,"np.zeros((index_size,feature_size))","np.empty((index_size,feature_size));r2[:]=0",np.zeros,np.empty
https://www.kaggle.com/alishir/iterative-random-forest,D://crw_data//np.arange\source315,D://crw_data//np.arange\source315\code\np.zeros_empty_replace2.py,86,"np.zeros((index_size,))","np.empty((index_size,));r2[:]=0",np.zeros,np.empty
https://www.kaggle.com/alishir/iterative-random-forest,D://crw_data//np.arange\source315,D://crw_data//np.arange\source315\code\np.zeros_empty_replace3.py,119,"np.zeros((pred_size,feature_size))","np.empty((pred_size,feature_size));r2[:]=0",np.zeros,np.empty
https://www.kaggle.com/alishir/iterative-random-forest,D://crw_data//np.arange\source315,D://crw_data//np.arange\source315\code\np.ndarray.sum_einsum_replace0.py,112,"np.sum(np.sqrt(np.power(y_test-y_pre,2)))","np.einsum('i->',np)",np.ndarray.sum,np.einsum
https://www.kaggle.com/alishir/iterative-random-forest,D://crw_data//np.arange\source315,D://crw_data//np.arange\source315\code\np.sum_sum_replace0.py,112,"np.sum(np.sqrt(np.power(y_test-y_pre,2)))",(np.sqrt(np.power(y_test-y_pre).sum(2))),np.sum,np.ndarray.sum
https://www.kaggle.com/alishir/iterative-random-forest,D://crw_data//np.arange\source315,D://crw_data//np.arange\source315\code\pd.Series.astype_replace0.py,29,np.around(result).astype(int),np.around(result).apply(int),pd.Series.astype,pd.Series.apply
https://www.kaggle.com/amazone/lightgbm-regressor,D://crw_data//df.apply\source20,D://crw_data//df.apply\source20\code\pd.Series.apply_map_replace2.py,27,df['pickup_datetime'].apply(lambdax:int(x.split('')[1].split(':')[0])),df['pickup_datetime'].map(lambdax:int(x.split('')[1].split(':')[0])),pd.Series.apply,pd.Series.map
https://www.kaggle.com/amazone/lightgbm-regressor,D://crw_data//df.apply\source20,D://crw_data//df.apply\source20\code\pd.Series.apply_map_replace3.py,28,df['pickup_datetime'].apply(lambdax:int(x.split('')[1].split(':')[1])),df['pickup_datetime'].map(lambdax:int(x.split('')[1].split(':')[1])),pd.Series.apply,pd.Series.map
https://www.kaggle.com/amazone/lightgbm-regressor,D://crw_data//df.apply\source20,D://crw_data//df.apply\source20\code\pd.Series.apply_replace0.py,25,df['pickup_datetime'].apply(lambdax:int(x.split('')[0].split('-')[1])),"pd.DataFrame(df['pickup_datetime']).apply(lambdax:int(x['pickup_datetime'].split('')[0].split('-')[1]),axis=1)",pd.Series.apply,pd.DataFrame.apply
https://www.kaggle.com/amazone/lightgbm-regressor,D://crw_data//df.apply\source20,D://crw_data//df.apply\source20\code\pd.Series.apply_replace1.py,26,df['pickup_datetime'].apply(lambdax:int(x.split('')[0].split('-')[2])),"pd.DataFrame(df['pickup_datetime']).apply(lambdax:int(x['pickup_datetime'].split('')[0].split('-')[2]),axis=1)",pd.Series.apply,pd.DataFrame.apply
